#	Sentence (Audio)	Sentence Reveal (English)	W1	W1 Quiz Data	W2	W2 Quiz Data	W3	W3 Quiz Data	W4	W4 Quiz Data
1	🔊 Je suis ici.	I am here.	Je	Type: Pronoun<br>Pers: 1st Sing	suis	Inf: Être<br>Tense: Présent<br>Conj: 1st Sing<br>Trans: To be	ici	Type: Adverb<br>Trans: Here	N/A	N/A
2	🔊 Tu as faim.	You are hungry.	Tu	Type: Pronoun<br>Pers: 2nd Sing	as	Inf: Avoir<br>Tense: Présent<br>Conj: 2nd Sing<br>Trans: To have	faim	Type: Noun<br>Gen: Fem<br>Trans: Hunger	N/A	N/A
3	🔊 Il va bien.	He is doing well.	Il	Type: Pronoun<br>Pers: 3rd Sing M	va	Inf: Aller<br>Tense: Présent<br>Conj: 3rd Sing<br>Trans: To go	bien	Type: Adverb<br>Trans: Well	N/A	N/A
4	🔊 Nous faisons ça.	We are doing that.	Nous	Type: Pronoun<br>Pers: 1st Pl	faisons	Inf: Faire<br>Tense: Présent<br>Conj: 1st Pl<br>Trans: To do/make	ça	Type: Pronoun<br>Trans: That	N/A	N/A
5	🔊 Vous dites quoi ?	You say what?	Vous	Type: Pronoun<br>Pers: 2nd Pl	dites	Inf: Dire<br>Tense: Présent<br>Conj: 2nd Pl<br>Trans: To say	quoi	Type: Pronoun<br>Trans: What	N/A	N/A
6	🔊 Elles peuvent venir.	They can come.	Elles	Type: Pronoun<br>Pers: 3rd Pl F	peuvent	Inf: Pouvoir<br>Tense: Présent<br>Conj: 3rd Pl<br>Trans: Can	venir	Inf: Venir<br>Form: Infinitive<br>Trans: To come	N/A	N/A
7	🔊 Je veux tout.	I want everything.	Je	Type: Pronoun<br>Pers: 1st Sing	veux	Inf: Vouloir<br>Tense: Présent<br>Conj: 1st Sing<br>Trans: To want	tout	Type: Pronoun<br>Trans: Everything	N/A	N/A
8	🔊 Tu sais nager.	You know how to swim.	Tu	Type: Pronoun<br>Pers: 2nd Sing	sais	Inf: Savoir<br>Tense: Présent<br>Conj: 2nd Sing<br>Trans: To know	nager	Inf: Nager<br>Form: Infinitive<br>Trans: To swim	N/A	N/A
9	🔊 On voit loin.	We see far.	On	Type: Pronoun<br>Pers: Indefinite	voit	Inf: Voir<br>Tense: Présent<br>Conj: 3rd Sing<br>Trans: To see	loin	Type: Adverb<br>Trans: Far	N/A	N/A
10	🔊 Il faut manger.	It is necessary to eat.	Il	Type: Pronoun<br>Pers: Impersonal	faut	Inf: Falloir<br>Tense: Présent<br>Conj: Impersonal<br>Trans: Must	manger	Inf: Manger<br>Form: Infinitive<br>Trans: To eat	N/A	N/A
11	🔊 Nous devons partir.	We have to leave.	Nous	Type: Pronoun<br>Pers: 1st Pl	devons	Inf: Devoir<br>Tense: Présent<br>Conj: 1st Pl<br>Trans: Must	partir	Inf: Partir<br>Form: Infinitive<br>Trans: To leave	N/A	N/A
12	🔊 Vous croyez moi.	You believe me.	Vous	Type: Pronoun<br>Pers: 2nd Pl	croyez	Inf: Croire<br>Tense: Présent<br>Conj: 2nd Pl<br>Trans: To believe	moi	Type: Pronoun<br>Form: Stressed<br>Trans: Me	N/A	N/A
13	🔊 Ils aiment lire.	They like to read.	Ils	Type: Pronoun<br>Pers: 3rd Pl M	aiment	Inf: Aimer<br>Tense: Présent<br>Conj: 3rd Pl<br>Trans: To like	lire	Inf: Lire<br>Form: Infinitive<br>Trans: To read	N/A	N/A
14	🔊 Je parle français.	I speak French.	Je	Type: Pronoun<br>Pers: 1st Sing	parle	Inf: Parler<br>Tense: Présent<br>Conj: 1st Sing<br>Trans: To speak	français	Type: Noun<br>Gen: Masc<br>Trans: French	N/A	N/A
15	🔊 Tu prends le thé.	You take the tea.	Tu	Type: Pronoun<br>Pers: 2nd Sing	prends	Inf: Prendre<br>Tense: Présent<br>Conj: 2nd Sing<br>Trans: To take	le	Type: Article<br>Gen: Masc<br>Trans: The	thé	Type: Noun<br>Gen: Masc<br>Trans: Tea
16	🔊 Elle met la table.	She sets the table.	Elle	Type: Pronoun<br>Pers: 3rd Sing F	met	Inf: Mettre<br>Tense: Présent<br>Conj: 3rd Sing<br>Trans: To put	la	Type: Article<br>Gen: Fem<br>Trans: The	table	Type: Noun<br>Gen: Fem<br>Trans: Table
17	🔊 Nous tenons le coup.	We are holding on.	Nous	Type: Pronoun<br>Pers: 1st Pl	tenons	Inf: Tenir<br>Tense: Présent<br>Conj: 1st Pl<br>Trans: To hold	le	Type: Article<br>Gen: Masc<br>Trans: The	coup	Type: Noun<br>Gen: Masc<br>Trans: Shock/Blow
18	🔊 Vous entendez ça ?	Do you hear that?	Vous	Type: Pronoun<br>Pers: 2nd Pl	entendez	Inf: Entendre<br>Tense: Présent<br>Conj: 2nd Pl<br>Trans: To hear	ça	Type: Pronoun<br>Trans: That	N/A	N/A
19	🔊 Ils attendent le bus.	They wait for the bus.	Ils	Type: Pronoun<br>Pers: 3rd Pl M	attendent	Inf: Attendre<br>Tense: Présent<br>Conj: 3rd Pl<br>Trans: To wait	le	Type: Article<br>Gen: Masc<br>Trans: The	bus	Type: Noun<br>Gen: Masc<br>Trans: Bus
20	🔊 J'appelle mon ami.	I call my friend.	J'	Type: Pronoun<br>Pers: 1st Sing	appelle	Inf: Appeler<br>Tense: Présent<br>Conj: 1st Sing<br>Trans: To call	mon	Type: Poss<br>Gen: Masc<br>Trans: My	ami	Type: Noun<br>Gen: Masc<br>Trans: Friend
21	🔊 Tu permets ceci ?	You allow this?	Tu	Type: Pronoun<br>Pers: 2nd Sing	permets	Inf: Permettre<br>Tense: Présent<br>Conj: 2nd Sing<br>Trans: To allow	ceci	Type: Pronoun<br>Trans: This	N/A	N/A
