Rank,Word_with_Article,IPA,Eng_Approx,Meaning,Verb_Tense,Verb_Mood,Sentence,Sentence_IPA,Sentence_Eng_Approx,Sentence_Translation,Elision_Note,Sentence_Breakdown
81,laisser,/lɛ.se/,leh-say,to leave / to let,Infinitive,Infinitive,Je vais laisser la clé sous le tapis.,/ʒə vɛ lɛ.se la kle su lə ta.pi/,zhuh veh less-SAY lah klay soo luh tah-PEE,I am going to leave the key under the mat.,,Je(Pron)|I|Pron|/ʒə/|zhuh;vais|go|Verb|/vɛ/|veh;laisser|to leave|Verb|/lɛ.se/|leh-say;la(Art)|the|Art|/la/|lah;clé(la)|key|Noun|/kle/|klay;sous|under|Prep|/su/|soo;le(Art)|the|Art|/lə/|luh;tapis(le)|mat/rug|Noun|/ta.pi/|tah-pee
82,penser,/pɑ̃.se/,pahn-say,to think,Infinitive,Infinitive,Je pense qu'il est temps de partir.,/ʒə pɑ̃s k‿il ɛ tɑ̃ də paʁ.tiʁ/,zhuh pahns keel eh tahn duh par-TEER,I think that it is time to leave.,que + il -> qu'il,Je(Pron)|I|Pron|/ʒə/|zhuh;pense|think|Verb|/pɑ̃s/|pahns;qu'|that|Conj|/k/|k;il(Pron)|it|Pron|/il/|eel;est|is|Verb|/ɛ/|eh;temps(le)|time|Noun|/tɑ̃/|tahn;de|to|Prep|/də/|duh;partir|leave|Verb|/paʁ.tiʁ/|par-teer
83,enfant,/ɑ̃.fɑ̃/,ahn-fahn,child,,,L'enfant joue tranquillement dans le jardin.,/lɑ̃.fɑ̃ ʒu tʁɑ̃.kil.mɑ̃ dɑ̃ lə ʒaʁ.dɛ̃/,lahn-FAHN zhoo trahn-KEEL-mahn dahn luh zhar-DAHN,The child plays quietly in the garden.,le + enfant -> l'enfant,L'(Art)|The|Art|/l/|l;enfant(le)|child|Noun|/ɑ̃.fɑ̃/|ahn-fahn;joue|plays|Verb|/ʒu/|zhoo;tranquillement|quietly|Adv|/tʁɑ̃.kil.mɑ̃/|trahn-keel-mahn;dans|in|Prep|/dɑ̃/|dahn;le(Art)|the|Art|/lə/|luh;jardin(le)|garden|Noun|/ʒaʁ.dɛ̃/|zhar-dahn
84,jeune,/ʒœn/,zhuhn,young,,,C'est un jeune homme très intelligent.,/s‿ɛ tœ̃ ʒœn ɔm tʁɛ z‿ɛ̃.tɛ.li.ʒɑ̃/,seh tun zhuhn ohm treh zahn-tel-ee-ZHAHN,He is a very intelligent young man.,ce + est -> c'est,C'|He/It|Pron|/s/|s;est|is|Verb|/ɛ/|eh;un(Art)|a|Art|/œ̃/|uh;jeune|young|Adj|/ʒœn/|zhuhn;homme(le)|man|Noun|/ɔm/|ohm;très|very|Adv|/tʁɛ/|treh;intelligent|intelligent|Adj|/ɛ̃.tɛ.li.ʒɑ̃/|ehn-tel-ee-zhahn
85,arriver,/a.ʁi.ve/,ah-ree-vay,to arrive,Infinitive,Infinitive,Le train va arriver dans cinq minutes.,/lə tʁɛ̃ va a.ʁi.ve dɑ̃ sɛ̃k mi.nyt/,luh trehn vah ah-ree-VAY dahn sank mee-NOOT,The train is going to arrive in five minutes.,,Le(Art)|The|Art|/lə/|luh;train(le)|train|Noun|/tʁɛ̃/|trehn;va|is going|Verb|/va/|vah;arriver|to arrive|Verb|/a.ʁi.ve/|ah-ree-vay;dans|in|Prep|/dɑ̃/|dahn;cinq|five|Num|/sɛ̃k/|sank;minutes(les)|minutes|Noun|/mi.nyt/|mee-newt
86,mettre,/mɛtʁ/,met-ruh,to put,Infinitive,Infinitive,Tu peux mettre ton manteau sur le lit.,/ty pø mɛtʁ tɔ̃ mɑ̃.to syʁ lə li/,tew puh meh-truh tohn mahn-TOE syur luh lee,You can put your coat on the bed.,,Tu(Pron)|You|Pron|/ty/|tew;peux|can|Verb|/pø/|puh;mettre|to put|Verb|/mɛtʁ/|met-ruh;ton(Det)|your|Det|/tɔ̃/|tohn;manteau(le)|coat|Noun|/mɑ̃.to/|mahn-toe;sur|on|Prep|/syʁ/|sur;le(Art)|the|Art|/lə/|luh;lit(le)|bed|Noun|/li/|lee
87,vie,/vi/,vee,life,,,Ils ont une vie heureuse à la campagne.,/il z‿ɔ̃ tyn vi ø.ʁøz a la kɑ̃.paɲ/,eel zohn t(y)ewn vee uh-RUHZ ah lah kahn-PAN-yuh,They have a happy life in the countryside.,,Ils(Pron)|They|Pron|/il/|eel;ont|have|Verb|/ɔ̃/|ohn;une(Art)|a|Art|/yn/|ywn;vie(la)|life|Noun|/vi/|vee;heureuse|happy|Adj|/œ.ʁøz/|uh-ruhz;à|in/at|Prep|/a/|ah;la(Art)|the|Art|/la/|lah;campagne(la)|countryside|Noun|/kɑ̃.paɲ/|kahn-pan-yuh
88,vite,/vit/,veet,fast / quickly,,,Il faut marcher vite pour ne pas être en retard.,/il fo maʁ.ʃe vit puʁ nə pa ɛtʁ ɑ̃ ʁə.taʁ/,eel foe mar-SHAY veet poor nuh pah eh-truh ahn ruh-TAR,We must walk fast to not be late.,,Il faut|It is necessary|Verb|/il fo/|eel foe;marcher|to walk|Verb|/maʁ.ʃe/|mar-shay;vite|fast|Adv|/vit/|veet;pour|to|Prep|/puʁ/|poor;ne|not|Adv|/nə/|nuh;pas|not|Adv|/pa/|pah;être|be|Verb|/ɛtʁ/|eh-truh;en|in|Prep|/ɑ̃/|ahn;retard(le)|late/delay|Noun|/ʁə.taʁ/|ruh-tar
89,entendre,/ɑ̃.tɑ̃dʁ/,ahn-tahn-druh,to hear,Infinitive,Infinitive,Est-ce que tu entends ce bruit bizarre ?,/ɛs kə ty ɑ̃.tɑ̃ sə bʁɥi bi.zaʁ/,ess-kuh tew ahn-TAHN suh brwee bee-ZAR,Do you hear that weird noise?,,Est-ce que|Is it that|Expr|/ɛs kə/|es-kuh;tu(Pron)|you|Pron|/ty/|tew;entends|hear|Verb|/ɑ̃.tɑ̃/|ahn-tahn;ce(Det)|this|Det|/sə/|suh;bruit(le)|noise|Noun|/bʁɥi/|bree;bizarre|weird|Adj|/bi.zaʁ/|bee-zar
90,écouter,/e.ku.te/,ay-koo-tay,to listen,Infinitive,Infinitive,J'aime écouter de la musique le soir.,/ʒɛm e.ku.te də la my.zik lə swaʁ/,zhem ay-koo-TAY duh lah mew-ZEEK luh swar,I like listening to music in the evening.,je + aime -> j'aime,J'|I|Pron|/ʒ/|zh;aime|like|Verb|/ɛm/|em;écouter|to listen|Verb|/e.ku.te/|ay-koo-tay;de la(Art)|some|Art|/də la/|duh lah;musique(la)|music|Noun|/my.zik/|mew-zeek;le(Art)|the|Art|/lə/|luh;soir(le)|evening|Noun|/swaʁ/|swar
